ID,timeStart,max,min,quantile_95,median,quantile_05,UNIQUE_ID,type,synced
7,1742356231157.0,12.465,12.114,12.465,12.465,12.114,2002117233,Braking,1
8,1742356240134.0,12.114,11.796,12.114,11.796,11.796,2002117233,Acceleration,1
9,1742356247714.0,17.579,13.066,17.579,13.066,13.066,2002117233,Braking,1
10,1742356260804.0,23.8,19.954,19.954,19.954,19.954,2002117233,Acceleration,1
11,1742356295612.0,23.3329,20.8329,23.3329,21.5,20.8329,2002117233,Braking,1
12,1742357795353.0,9.4,8.166,9.4,8.333,8.166,1457788001,Braking,1
13,1742357815611.0,9.6,7.6,9.6,8.4,7.6,1457788001,Braking,1
14,1742357828963.0,11.0,8.4,10.166,9.8,8.8,1457788001,Acceleration,1
15,1742357853852.0,18.2,14.0,18.2,16.2,14.5,1457788001,Cornering,1
16,1742357868018.0,24.8,19.0,24.666,21.8,19.3329,1457788001,Cornering,1
17,1742357907552.0,24.859,18.0,24.859,19.166,18.0,1457788001,Cornering,1
18,1742357859572.0,24.859,17.2,24.8,20.6,18.0,1457788001,Acceleration,1
19,1742357962047.0,24.86,22.932,24.86,23.917,22.932,1457788001,Braking,1
20,1742357961676.0,24.86,17.841,24.86,23.541,17.841,1457788001,Cornering,1
21,1742357968325.0,24.86,17.841,24.392,23.541,17.841,1457788001,Acceleration,1
22,1742388100007.0,24.343,22.56,24.343,23.063,22.56,196542710,Acceleration,0
23,1742388100249.0,24.831,22.56,24.831,23.472,22.56,196542710,Cornering,0
24,1742388127693.0,24.975,23.021,24.975,23.553,23.0509,196542710,Cornering,0
32,1742391157215.0,24.8,17.2,24.8,20.0,17.4,565024602,Cornering,0
33,1742391156970.0,24.8,17.2,24.8,20.0,17.4,565024602,Braking,0
34,1742391158982.0,24.4,16.8,24.4,19.8,16.8,565024602,Acceleration,0
35,1742391395899.0,20.4,18.8,20.4,19.3329,18.8,565024602,Braking,0
36,1742391396175.0,23.6,18.8,20.4,19.666,18.8,565024602,Acceleration,0
37,1742391511672.0,11.8,11.2,11.8,11.4,11.2,565024602,Acceleration,0
38,1742391510794.0,11.8,11.0,11.8,11.4,11.0,565024602,Braking,0
39,1742391617893.0,11.4,11.0,11.4,11.2,11.0,565024602,Acceleration,0
40,1742391762275.0,11.8,11.0,11.333,11.2,11.0,565024602,Cornering,0
41,1742392020402.0,17.4,16.0,17.4,16.0,16.0,565024602,Cornering,0
42,1742392075280.0,17.2,9.833,17.2,11.8,10.8,565024602,Cornering,0
43,1742392123402.0,5.6,4.8,5.6,5.2,5.0,565024602,Cornering,0
44,1742392140042.0,6.166,6.0,6.166,6.166,6.0,565024602,Acceleration,0
45,1742392134973.0,6.5,5.6,6.333,6.0,5.6,565024602,Cornering,0
46,1742392171111.0,7.8,7.2,7.8,7.4,7.2,565024602,Cornering,0
47,1742392209995.0,7.0,6.4,7.0,7.0,6.4,565024602,Acceleration,0
48,1742392209816.0,7.0,5.2,7.0,5.8,5.2,565024602,Braking,0
49,1742392209929.0,7.0,5.2,7.0,5.8,5.2,565024602,Cornering,0
50,1742392223173.0,5.8,5.2,5.8,5.5,5.2,565024602,Braking,0
51,1742392279984.0,5.2,5.0,5.0,5.0,5.0,565024602,Cornering,0
52,1742392280946.0,5.8,5.0,5.8,5.2,5.0,565024602,Braking,0
53,1742392295754.0,7.6,6.166,7.6,6.5,6.333,565024602,Cornering,0
54,1742392341028.0,12.8,11.5,12.8,12.8,11.5,565024602,Cornering,0
55,1742392344425.0,12.0,11.333,12.0,11.5,11.333,565024602,Acceleration,0
56,1742392356054.0,14.166,13.666,14.166,14.0,13.666,565024602,Acceleration,0
57,1742392356407.0,14.166,13.0,14.166,13.8,13.0,565024602,Braking,0
58,1742392360544.0,14.5,13.0,14.5,13.6,13.0,565024602,Acceleration,0
59,1742392355566.0,18.2,13.0,18.2,14.0,13.0,565024602,Cornering,0
60,1742399814373.0,17.5,6.833,17.5,11.0,7.833,315396716,Acceleration,0
61,1742399831516.0,6.5,5.6,6.166,5.833,5.6,315396716,Acceleration,0
62,1742399815543.0,17.5,5.6,17.2,8.6,5.6,315396716,Cornering,0
63,1742399848145.0,9.6,8.8,9.6,9.2,8.8,315396716,Cornering,0
64,1742399867459.0,13.4,11.333,13.4,12.5,11.333,315396716,Cornering,0
65,1742399881937.0,14.8,14.4,14.8,14.4,14.4,315396716,Cornering,0
66,1742399892937.0,14.6,13.166,14.4,14.0,13.333,315396716,Cornering,0
67,1742399903185.0,14.2,11.4,14.2,12.6,11.4,315396716,Cornering,0
68,1742399911160.0,11.2,10.666,10.8,10.666,10.666,315396716,Cornering,0
69,1742400104770.0,14.5,13.166,14.5,13.333,13.166,315396716,Cornering,0
70,1742400110295.0,16.166,14.5,15.833,15.333,14.5,315396716,Cornering,0
71,1742400138091.0,14.0,12.2,14.0,12.833,12.2,315396716,Cornering,0
72,1742400245321.0,13.4,9.0,13.4,12.2,9.0,315396716,Cornering,0
73,1742400242446.0,13.4,7.166,13.4,9.0,7.166,315396716,Braking,0
74,1742400305616.0,13.0,12.2,13.0,12.8,12.2,315396716,Braking,0
75,1742400418254.0,10.833,10.6,10.833,10.8,10.6,315396716,Braking,0
