ID,timeStart,max,min,quantile_95,median,quantile_05,UNIQUE_ID,type,synced
7,1742356231157.0,2.7196,-5.9209,1.1407,-1.9608,-4.6624,2002117233,Braking,1
8,1742356240134.0,3.2859,-2.3603,1.9184,0.5995,-0.6773,2002117233,Acceleration,1
9,1742356247714.0,3.0447,-4.216,1.8934,0.2115,-1.0841,2002117233,Braking,1
10,1742356260804.0,3.6225,-0.058,3.0958,1.4229,0.392,2002117233,Acceleration,1
11,1742356295612.0,2.8831,-5.2597,1.27,-0.0981,-2.1175,2002117233,Braking,1
12,1742357795353.0,3.2587,-13.5204,1.0557,-0.7061,-2.2224,1457788001,Braking,1
13,1742357815611.0,4.5838,-11.2083,1.3744,-2.8033,-7.2494,1457788001,Braking,1
14,1742357828963.0,7.2152,-1.7308,4.1865,0.1688,-1.1612,1457788001,Acceleration,1
15,1742357853852.0,3.139,-2.1541,2.178,-0.4815,-1.8841,1457788001,Cornering,1
16,1742357868018.0,6.0313,-3.1493,3.5618,-0.7087,-1.7855,1457788001,Cornering,1
17,1742357907552.0,9.357,-2.5072,9.1943,1.8857,-1.5545,1457788001,Cornering,1
18,1742357859572.0,9.357,-10.399,8.0241,-0.3836,-2.4754,1457788001,Acceleration,1
19,1742357962047.0,4.9965,-10.399,0.2992,-6.6011,-8.8633,1457788001,Braking,1
20,1742357961676.0,10.2837,-10.399,8.6431,3.2495,-8.6053,1457788001,Cornering,1
21,1742357968325.0,10.2837,1.6452,8.6118,4.734,1.8614,1457788001,Acceleration,1
22,1742388100007.0,6.2825,-2.9283,3.1996,1.0632,-1.1573,196542710,Acceleration,0
23,1742388100249.0,6.2825,-2.9283,1.9667,-0.0552,-0.3432,196542710,Cornering,0
24,1742388127693.0,1.2636,-3.6803,0.1899,-0.1115,-1.2664,196542710,Cornering,0
32,1742391157215.0,17.2348,-11.0018,10.153,7.5959,-10.2297,565024602,Cornering,0
33,1742391156970.0,17.2348,-11.0018,10.0273,7.4032,-10.1975,565024602,Braking,0
34,1742391158982.0,17.2348,-7.7728,9.1067,2.8437,0.1965,565024602,Acceleration,0
35,1742391395899.0,5.3374,-4.7967,2.285,0.205,-1.7305,565024602,Braking,0
36,1742391396175.0,5.3374,-4.7967,2.0416,0.1648,-1.5971,565024602,Acceleration,0
37,1742391511672.0,5.1078,-2.7316,0.6988,-0.6206,-1.8188,565024602,Acceleration,0
38,1742391510794.0,5.1078,-3.9293,1.3076,-0.4213,-2.0476,565024602,Braking,0
39,1742391617893.0,3.364,-1.8623,0.8911,-0.0802,-1.0826,565024602,Acceleration,0
40,1742391762275.0,2.754,-3.2012,1.5415,-0.0712,-1.9299,565024602,Cornering,0
41,1742392020402.0,6.9686,-1.9413,1.4562,-0.257,-1.4405,565024602,Cornering,0
42,1742392075280.0,2.5938,-2.6229,0.8996,0.03,-0.9825,565024602,Cornering,0
43,1742392123402.0,3.2446,-2.0513,1.1592,0.0983,-1.156,565024602,Cornering,0
44,1742392140042.0,7.0258,-2.5604,1.5879,0.1535,-1.3878,565024602,Acceleration,0
45,1742392134973.0,7.0258,-3.2781,1.2293,0.0933,-1.1851,565024602,Cornering,0
46,1742392171111.0,1.9081,-2.279,1.0799,0.214,-1.6485,565024602,Cornering,0
47,1742392209995.0,6.9558,-13.1319,2.8375,-2.269,-7.7267,565024602,Acceleration,0
48,1742392209816.0,6.9558,-13.1319,0.6987,-1.2133,-4.8832,565024602,Braking,0
