ID,timeStart,max,min,quantile_95,median,quantile_05,UNIQUE_ID,type,synced
7,1742356231157.0,0.4459,-6.6754,-1.6942,-4.1494,-5.6387,2002117233,Braking,1
8,1742356240134.0,0.6093,-4.0912,-0.8879,-1.9308,-3.3243,2002117233,Acceleration,1
9,1742356247714.0,1.2019,-2.1131,-0.0078,-0.5597,-1.153,2002117233,Braking,1
10,1742356260804.0,0.5661,-0.8962,0.3618,-0.2149,-0.7437,2002117233,Acceleration,1
11,1742356295612.0,1.0327,-2.0242,0.5894,-0.0806,-0.9271,2002117233,Braking,1
12,1742357795353.0,1.2035,-4.9543,0.5876,-0.0571,-0.9667,1457788001,Braking,1
13,1742357815611.0,6.231,-15.8461,3.0798,-0.6336,-5.7238,1457788001,Braking,1
14,1742357828963.0,6.0501,-3.3949,3.2835,0.5613,-2.2187,1457788001,Acceleration,1
15,1742357853852.0,3.8446,-3.3496,2.712,0.2723,-2.4524,1457788001,Cornering,1
16,1742357868018.0,6.2706,-3.5904,2.9498,0.3532,-2.5816,1457788001,Cornering,1
17,1742357907552.0,5.7858,-3.5816,2.8511,1.1205,-2.3312,1457788001,Cornering,1
18,1742357859572.0,6.2706,-6.4692,2.7597,0.4048,-2.8746,1457788001,Acceleration,1
19,1742357962047.0,-0.4828,-9.327,-1.7672,-5.4805,-8.6236,1457788001,Braking,1
20,1742357961676.0,7.5316,-9.327,4.2509,-3.0386,-8.2381,1457788001,Cornering,1
21,1742357968325.0,7.5316,-8.0571,3.8425,-0.1123,-4.5216,1457788001,Acceleration,1
22,1742388100007.0,9.0865,-1.6533,8.7922,7.9863,1.4441,196542710,Acceleration,0
23,1742388100249.0,9.0865,2.1635,8.635,4.7283,2.3809,196542710,Cornering,0
24,1742388127693.0,2.7518,-14.8623,2.2703,-4.0967,-7.9478,196542710,Cornering,0
32,1742391157215.0,3.2672,-0.9531,3.0176,0.291,-0.5661,565024602,Cornering,0
33,1742391156970.0,3.2672,-0.9531,3.0147,0.3408,-0.5661,565024602,Braking,0
34,1742391158982.0,2.2757,-3.9015,0.4223,-0.6069,-1.485,565024602,Acceleration,0
35,1742391395899.0,5.1053,-5.1605,1.8459,-0.2297,-1.7739,565024602,Braking,0
36,1742391396175.0,5.1053,-5.1605,1.1508,-0.2528,-1.6446,565024602,Acceleration,0
37,1742391511672.0,1.5906,-1.9099,1.2983,0.3723,-0.7122,565024602,Acceleration,0
38,1742391510794.0,4.2627,-1.9099,1.3727,0.2707,-0.895,565024602,Braking,0
39,1742391617893.0,2.736,-2.8549,0.9602,0.1719,-0.886,565024602,Acceleration,0
40,1742391762275.0,3.5987,-2.3296,1.8032,-0.0815,-1.4617,565024602,Cornering,0
41,1742392020402.0,3.3421,-6.6706,1.8678,0.5492,-1.6255,565024602,Cornering,0
42,1742392075280.0,4.1808,-3.2116,0.8677,-0.3379,-1.4292,565024602,Cornering,0
43,1742392123402.0,2.6091,-5.1568,1.4834,-0.1754,-1.699,565024602,Cornering,0
44,1742392140042.0,5.2632,-10.4527,1.5938,-0.1081,-2.1179,565024602,Acceleration,0
45,1742392134973.0,5.2632,-10.4527,1.4476,-0.0995,-1.6734,565024602,Cornering,0
46,1742392171111.0,4.1845,-2.6842,2.1566,0.0264,-1.5834,565024602,Cornering,0
47,1742392209995.0,0.7499,-11.1811,-0.3994,-3.4708,-7.6102,565024602,Acceleration,0
48,1742392209816.0,1.5114,-11.1811,-1.0215,-2.9508,-5.8997,565024602,Braking,0
49,1742392209929.0,0.7499,-11.1811,-1.0994,-2.8595,-5.8928,565024602,Cornering,0
50,1742392223173.0,0.3155,-2.8663,0.0258,-1.1267,-2.1549,565024602,Braking,0
51,1742392279984.0,4.446,-0.6745,3.4329,1.4188,0.121,565024602,Cornering,0
52,1742392280946.0,3.6177,-3.3245,2.5518,0.6494,-1.9432,565024602,Braking,0
53,1742392295754.0,1.42,-4.4762,0.7627,-0.4216,-2.9301,565024602,Cornering,0
54,1742392341028.0,1.4877,-4.8113,1.1958,-0.1549,-3.903,565024602,Cornering,0
55,1742392344425.0,2.0969,-2.239,1.7175,0.4734,-1.2026,565024602,Acceleration,0
56,1742392356054.0,8.8584,-2.4684,6.3552,2.7458,-0.2741,565024602,Acceleration,0
57,1742392356407.0,8.8584,-6.6286,5.2589,1.5253,-4.9355,565024602,Braking,0
58,1742392360544.0,3.2677,-6.6286,-0.4223,-4.112,-4.9589,565024602,Acceleration,0
59,1742392355566.0,8.8584,-6.6286,3.7134,-2.5145,-4.7471,565024602,Cornering,0
60,1742399814373.0,4.2923,-2.1857,2.7979,1.6623,0.2675,315396716,Acceleration,0
61,1742399831516.0,10.4623,-4.6367,3.5431,0.971,-1.6801,315396716,Acceleration,0
62,1742399815543.0,10.4623,-6.1463,2.9292,1.4907,-0.5731,315396716,Cornering,0
63,1742399848145.0,4.4495,-4.2811,1.0498,-0.1306,-2.255,315396716,Cornering,0
64,1742399867459.0,3.6873,-4.1641,1.4727,-0.6478,-2.5222,315396716,Cornering,0
65,1742399881937.0,7.8005,-7.84,1.3308,-0.6773,-2.5728,315396716,Cornering,0
66,1742399892937.0,5.5809,-9.0962,2.5209,0.0314,-2.3519,315396716,Cornering,0
67,1742399903185.0,4.044,-4.6896,2.2943,0.4361,-2.1565,315396716,Cornering,0
68,1742399911160.0,2.9451,-4.348,1.3722,-0.2239,-1.9177,315396716,Cornering,0
69,1742400104770.0,5.1061,-4.8764,1.644,-0.3119,-2.4012,315396716,Cornering,0
70,1742400110295.0,7.0259,-1.8524,3.127,0.3855,-1.0223,315396716,Cornering,0
71,1742400138091.0,4.1309,-3.7572,1.4665,0.1026,-2.0634,315396716,Cornering,0
72,1742400245321.0,10.3103,-7.0462,2.9464,-1.2468,-4.9983,315396716,Cornering,0
73,1742400242446.0,10.3103,-7.2741,1.9308,0.1851,-3.8187,315396716,Braking,0
74,1742400305616.0,2.1775,-1.9723,1.3328,0.0214,-1.6634,315396716,Braking,0
75,1742400418254.0,2.0327,-6.8787,1.5634,-0.2061,-5.3909,315396716,Braking,0
76,1742400424280.0,5.6483,-8.4605,2.5033,-2.996,-5.2891,315396716,Acceleration,0
77,1742400424231.0,5.6483,-8.4605,2.3472,-2.525,-5.2148,315396716,Cornering,0
78,1742400429732.0,2.5234,-8.4605,2.2167,-1.6987,-5.0775,315396716,Braking,0
79,1742400459932.0,2.3796,-2.1117,1.0708,0.1081,-0.883,315396716,Braking,0
80,1742400464678.0,2.7847,-2.6386,1.1141,0.0394,-1.053,315396716,Acceleration,0
81,1742400483590.0,2.7847,-3.1126,1.1688,-0.0009,-1.2373,315396716,Braking,0
82,1742400498630.0,2.4157,-3.1126,1.0775,0.0902,-1.0931,315396716,Acceleration,0
83,1742400507924.0,2.2139,-2.654,1.0775,0.2286,-0.7148,315396716,Braking,0
84,1742400524846.0,3.1884,-4.2592,1.5054,0.1089,-1.9228,315396716,Cornering,0
85,1742400528935.0,3.1643,-4.5806,1.5064,-0.0964,-2.0759,315396716,Cornering,0
86,1742400520640.0,3.7545,-4.5806,1.515,-0.0864,-1.8695,315396716,Braking,0
87,1742400520169.0,3.7545,-4.5806,1.4858,-0.0864,-1.8291,315396716,Acceleration,0
88,1742400552219.0,1.3784,-1.946,0.8772,0.0038,-0.9756,315396716,Acceleration,0
89,1742400563582.0,3.3694,-2.6664,1.3876,0.0344,-1.0311,315396716,Braking,0
90,1742400566368.0,2.5854,-2.6664,1.2862,-0.0902,-1.142,315396716,Acceleration,0
91,1742400571710.0,1.9779,-1.8897,1.2309,-0.0427,-0.9183,315396716,Acceleration,0
92,1742400588040.0,3.1654,-2.0642,1.3593,0.3739,-0.726,315396716,Acceleration,0
93,1742400587733.0,3.2457,-2.0642,1.2663,0.1949,-0.9164,315396716,Braking,0
94,1742400600936.0,3.0356,-3.2255,1.7301,-0.1105,-1.6047,315396716,Cornering,0
95,1742400600968.0,3.0356,-3.1517,1.7301,-0.0867,-1.5958,315396716,Braking,0
96,1742400599313.0,3.0356,-3.2255,1.5618,-0.0799,-1.5484,315396716,Acceleration,0
97,1742400609509.0,2.6943,-2.2972,1.0659,-0.4283,-1.5971,315396716,Braking,0
98,1742400611144.0,2.4185,-2.2972,0.6646,-0.2235,-1.3029,315396716,Acceleration,0
99,1742400614733.0,2.4298,-1.7979,0.9281,0.0434,-0.7193,315396716,Braking,0
100,1742400640745.0,2.3267,-1.8445,1.0283,-0.0923,-1.087,315396716,Braking,0
101,1742400667779.0,7.4819,-8.2879,2.4724,-0.1988,-2.5455,315396716,Cornering,0
102,1742400667860.0,7.4819,-8.2879,2.4157,-0.1114,-2.4597,315396716,Acceleration,0
103,1742400706616.0,4.4795,-2.8277,1.8166,-0.0073,-1.5015,315396716,Cornering,0
104,1742400666355.0,7.4819,-8.2879,2.3453,-0.1393,-2.383,315396716,Braking,0
105,1742400718169.0,6.0193,-3.6762,1.6345,-0.3871,-1.8492,315396716,Cornering,0
106,1742400712540.0,6.0193,-3.6762,1.5185,-0.0426,-1.6222,315396716,Braking,0
107,1742400709789.0,6.0193,-3.6762,1.4663,-0.1541,-1.5679,315396716,Acceleration,0
108,1742400727397.0,5.1827,-2.5909,1.5212,-0.153,-1.3849,315396716,Braking,0
109,1742400736205.0,3.8948,-3.1084,1.6331,-0.1005,-1.6266,315396716,Cornering,0
110,1742400732613.0,3.8948,-3.1084,1.6081,-0.0413,-1.537,315396716,Braking,0
