ID,timeStart,max,min,quantile_95,median,quantile_05,UNIQUE_ID,type,synced
1,1742355874494.0,1.574,0.0922,1.574,0.2678,0.0922,2015354546,Cornering,1
2,1742355874348.0,1.574,0.0922,1.574,0.2678,0.0922,2015354546,Braking,1
3,1742355891071.0,0.2678,0.0922,0.2678,0.2678,0.0922,2015354546,Acceleration,1
4,1742356030220.0,0.3918,0.2505,0.3918,0.3412,0.2505,2015354546,Cornering,1
5,1742356030237.0,0.3918,0.2505,0.3918,0.3412,0.2505,2015354546,Braking,1
6,1742356072245.0,0.11,0.11,0.11,0.11,0.11,2015354546,Braking,1
7,1742356231157.0,3.5854,2.4851,3.5854,3.5854,2.4851,2002117233,Braking,1
8,1742356240134.0,3.5013,2.4851,3.5013,3.5013,2.4851,2002117233,Acceleration,1
9,1742356247714.0,8.9147,7.4429,8.9147,7.4429,7.4429,2002117233,Braking,1
10,1742356260804.0,6.1154,1.8372,1.8372,1.8372,1.8372,2002117233,Acceleration,1
11,1742356295612.0,4.8673,3.3533,4.8673,3.8634,3.3533,2002117233,Braking,1
12,1742357795353.0,3.2011,0.9718,3.2011,2.497,0.9718,1457788001,Braking,1
13,1742357815611.0,1.3224,0.0134,1.3048,0.3594,0.0134,1457788001,Braking,1
14,1742357828963.0,1.3609,0.6118,1.3588,1.0041,0.6151,1457788001,Acceleration,1
15,1742357853852.0,0.8992,0.192,0.8992,0.7204,0.5463,1457788001,Cornering,1
16,1742357868018.0,1.4297,0.0182,1.3377,0.4881,0.0632,1457788001,Cornering,1
17,1742357907552.0,1.2228,0.2047,0.7793,0.6029,0.2047,1457788001,Cornering,1
18,1742357859572.0,1.4297,0.0182,1.2228,0.4978,0.2047,1457788001,Acceleration,1
19,1742357962047.0,0.9802,0.1182,0.6465,0.3762,0.1182,1457788001,Braking,1
20,1742357961676.0,1.2101,0.1182,1.2101,0.4515,0.1182,1457788001,Cornering,1
21,1742357968325.0,1.2101,0.1404,1.2101,0.4515,0.1404,1457788001,Acceleration,1
22,1742388100007.0,0.6195,0.016,0.6195,0.4283,0.016,196542710,Acceleration,0
23,1742388100249.0,0.9159,0.0,0.6195,0.0001,0.0,196542710,Cornering,0
24,1742388127693.0,0.5623,0.0001,0.5623,0.0826,0.0001,196542710,Cornering,0
25,1742388418871.0,0.1547,0.0587,0.1547,0.1547,0.1438,1018456600,Cornering,0
26,1742388428434.0,0.6451,0.0587,0.6451,0.6451,0.0587,1018456600,Braking,0
27,1742388428193.0,0.6451,0.0587,0.6451,0.0614,0.0587,1018456600,Cornering,0
28,1742388454918.0,0.3132,0.2071,0.3132,0.3132,0.2071,1018456600,Braking,0
29,1742388455502.0,0.3132,0.2071,0.3132,0.3132,0.2071,1018456600,Acceleration,0
30,1742388455403.0,0.588,0.2071,0.3132,0.2071,0.2071,1018456600,Cornering,0
31,1742388469975.0,0.588,0.2454,0.588,0.588,0.2454,1018456600,Cornering,0
32,1742391157215.0,6.4596,4.89,6.4454,5.0949,4.89,565024602,Cornering,0
33,1742391156970.0,6.4596,4.89,6.4454,5.0949,4.89,565024602,Braking,0
34,1742391158982.0,6.4596,2.8226,6.4596,5.3026,2.8226,565024602,Acceleration,0
35,1742391395899.0,4.9789,3.3358,4.9789,3.98,3.3358,565024602,Braking,0
36,1742391396175.0,5.8985,3.3358,4.9789,3.7185,3.3358,565024602,Acceleration,0
37,1742391511672.0,1.6893,0.7961,1.6893,1.5642,0.7961,565024602,Acceleration,0
38,1742391510794.0,2.6728,0.7961,2.6728,1.5642,0.7961,565024602,Braking,0
39,1742391617893.0,1.6052,1.0113,1.6052,1.4466,1.0113,565024602,Acceleration,0
