ID,latitude,longitude,timestamp,tick_timestamp,speed_kmh,midSpeed,course,height,acceleration,deceleration,lateral,yaw,total_meters,established_indexA,established_indexB,start_date,end_date,unique_id,number,device_id,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,acceleration_x_original,acceleration_y_original,acceleration_z_original,gyroscope_x_original,gyroscope_y_original,gyroscope_z_original,accuracy,screen_on,screen_blocked,vehicle_indicators,quantile,safe_score_x,risk_factor_x,total_penalty_x,star_rating_x,safe_score_y,risk_factor_y,total_penalty_y,star_rating_y,safe_score,risk_factor,total_penalty,star_rating
66970,18.5887,73.7031,2025-06-04 06:23:34,1749018214,6.86429e-10,6.86429e-10,0.0,553200,2.6238e-07,2.57395e-06,0.0,0.0,8.742,1,0,,,1306688499,226,a6c0c2d1793276a6,0.0,5.80606e-06,1.02277,0.0,0.0,0.0,-0.300472,0.117316,10.0281,0.0,0.0,0.0,5.666,0,0,,"{""AccZ"":{""max"":10.0729,""median"":10.0409,""min"":10.0148,""quantile_05"":10.022,""quantile_95"":10.0617},""AccY"":{""max"":0.0175,""median"":-0.0023,""min"":-0.0204,""quantile_05"":-0.016,""quantile_95"":0.0139},""AccX"":{""max"":0.0165,""median"":-0.0028,""min"":-0.0216,""quantile_05"":-0.0186,""quantile_95"":0.0083},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66969,18.5887,73.7031,2025-06-04 06:23:33,1749018213,4.48412e-09,4.48412e-09,0.0,553200,-1.11549e-06,-1.0943e-05,0.0,0.0,8.742,1,0,,,1306688499,225,a6c0c2d1793276a6,0.0,-1.40915e-06,1.03458,0.0,0.0,0.0,-0.305261,0.0897826,10.1442,0.0,0.0,0.0,5.5,0,0,,"{""AccZ"":{""max"":10.5095,""median"":10.0478,""min"":9.8227,""quantile_05"":9.9215,""quantile_95"":10.1813},""AccY"":{""max"":0.0463,""median"":0.0043,""min"":-0.0256,""quantile_05"":-0.0142,""quantile_95"":0.0264},""AccX"":{""max"":0.0391,""median"":0.0022,""min"":-0.047,""quantile_05"":-0.0376,""quantile_95"":0.0178},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66968,18.5887,73.7031,2025-06-04 06:23:32,1749018212,2.76057e-08,2.76057e-08,0.0,553200,-2.67098e-08,-2.62023e-07,0.0,0.0,8.742,1,0,,,1306688499,224,a6c0c2d1793276a6,0.0,7.66634e-09,1.02456,0.0,0.0,0.0,-0.296881,0.0957681,10.0461,0.0,0.0,0.0,5.5,0,0,,"{""AccZ"":{""max"":10.0608,""median"":10.0512,""min"":10.0322,""quantile_05"":10.0356,""quantile_95"":10.0575},""AccY"":{""max"":0.0174,""median"":0.0049,""min"":-0.0182,""quantile_05"":-0.0098,""quantile_95"":0.0133},""AccX"":{""max"":0.013,""median"":-0.0016,""min"":-0.0128,""quantile_05"":-0.0092,""quantile_95"":0.0069},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66967,18.5887,73.7031,2025-06-04 06:23:31,1749018211,2.91102e-07,2.91102e-07,0.0,553700,8.91201e-07,8.74268e-06,0.0,0.0,8.742,1,0,,,1306688499,223,a6c0c2d1793276a6,0.0,-7.0308e-07,1.02505,0.0,0.0,0.0,-0.296881,0.0957681,10.0509,0.0,0.0,0.0,5.333,0,0,,"{""AccZ"":{""max"":10.0649,""median"":10.0502,""min"":10.0377,""quantile_05"":10.0425,""quantile_95"":10.0584},""AccY"":{""max"":0.02,""median"":0.004,""min"":-0.0143,""quantile_05"":-0.0114,""quantile_95"":0.015},""AccX"":{""max"":0.008,""median"":-0.0011,""min"":-0.0145,""quantile_05"":-0.0098,""quantile_95"":0.0053},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66966,18.5887,73.7031,2025-06-04 06:23:30,1749018210,1.57959e-06,1.57959e-06,0.0,553700,1.57544e-06,1.54551e-05,0.0,0.0,8.742,1,0,,,1306688499,222,a6c0c2d1793276a6,0.0,-2.67253e-08,1.02653,0.0,0.0,0.0,-0.301669,0.0993594,10.0652,0.0,0.0,0.0,5.166,0,0,,"{""AccZ"":{""max"":10.067,""median"":10.0431,""min"":9.9616,""quantile_05"":10.0008,""quantile_95"":10.0539},""AccY"":{""max"":0.0112,""median"":-6.0E-4,""min"":-0.0166,""quantile_05"":-0.01,""quantile_95"":0.007},""AccX"":{""max"":0.0107,""median"":0.0014,""min"":-0.0067,""quantile_05"":-0.0057,""quantile_95"":0.0081},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66965,18.5887,73.7031,2025-06-04 06:23:29,1749018209,1.07888e-05,1.07888e-05,0.0,553700,-1.6133e-06,-1.58265e-05,0.0,0.0,8.742,1,0,,,1306688499,221,a6c0c2d1793276a6,0.0,3.13986e-06,1.02484,0.0,0.0,0.0,-0.308852,0.0993594,10.0485,0.0,0.0,0.0,5.76,0,0,,"{""AccZ"":{""max"":10.0616,""median"":10.0475,""min"":10.0355,""quantile_05"":10.0377,""quantile_95"":10.0531},""AccY"":{""max"":0.0099,""median"":-0.002,""min"":-0.0189,""quantile_05"":-0.011,""quantile_95"":0.0075},""AccX"":{""max"":0.0118,""median"":1.0E-4,""min"":-0.0078,""quantile_05"":-0.0067,""quantile_95"":0.0087},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66964,18.5887,73.7031,2025-06-04 06:23:28,1749018208,6.79127e-05,6.79127e-05,0.0,553700,9.09916e-07,8.92628e-06,0.0,0.0,8.742,1,0,,,1306688499,220,a6c0c2d1793276a6,0.0,-4.73673e-07,1.02334,0.0,0.0,0.0,-0.300472,0.0837971,10.0341,0.0,0.0,0.0,6.521,0,0,,"{""AccZ"":{""max"":10.0591,""median"":10.0469,""min"":10.0379,""quantile_05"":10.04,""quantile_95"":10.0529},""AccY"":{""max"":0.0108,""median"":-0.003,""min"":-0.0211,""quantile_05"":-0.017,""quantile_95"":0.0073},""AccX"":{""max"":0.0119,""median"":-4.0E-4,""min"":-0.0166,""quantile_05"":-0.0067,""quantile_95"":0.008},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66963,18.5887,73.7031,2025-06-04 06:23:27,1749018207,0.000443347,0.000443347,0.0,553700,-1.48848e-06,-1.4602e-05,0.0,0.0,8.74198,1,0,,,1306688499,219,a6c0c2d1793276a6,0.0,-1.69415e-06,1.02433,0.0,0.0,0.0,-0.305261,0.0861913,10.0437,0.0,0.0,0.0,7.282,0,0,,"{""AccZ"":{""max"":10.0632,""median"":10.0513,""min"":10.0433,""quantile_05"":10.0443,""quantile_95"":10.0566},""AccY"":{""max"":0.0123,""median"":0.0012,""min"":-0.0166,""quantile_05"":-0.0131,""quantile_95"":0.0097},""AccX"":{""max"":0.0136,""median"":0.0017,""min"":-0.0083,""quantile_05"":-0.0045,""quantile_95"":0.0074},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66962,18.5887,73.7031,2025-06-04 06:23:26,1749018206,0.00576235,0.00576235,0.0,553700,5.19847e-07,5.0997e-06,0.0,0.0,8.74185,1,0,,,1306688499,218,a6c0c2d1793276a6,0.0,4.75744e-07,1.0248,0.0,0.0,0.0,-0.298078,0.094571,10.0485,0.0,0.0,0.0,8.652,0,0,,"{""AccZ"":{""max"":10.0647,""median"":10.053,""min"":10.0423,""quantile_05"":10.0471,""quantile_95"":10.0589},""AccY"":{""max"":0.0167,""median"":4.0E-4,""min"":-0.0142,""quantile_05"":-0.0104,""quantile_95"":0.012},""AccX"":{""max"":0.0168,""median"":0.0017,""min"":-0.0075,""quantile_05"":-0.0045,""quantile_95"":0.0067},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66961,18.5887,73.7031,2025-06-04 06:23:25,1749018205,0.000242603,0.000242603,0.0,553700,-1.73824e-06,-1.70522e-05,0.0,0.0,8.74025,1,0,,,1306688499,217,a6c0c2d1793276a6,0.0,-2.29738e-07,1.0242,0.0,0.0,0.0,-0.300472,0.0921768,10.0425,0.0,0.0,0.0,8.043,0,0,,"{""AccZ"":{""max"":10.0607,""median"":10.044,""min"":10.0318,""quantile_05"":10.0354,""quantile_95"":10.0534},""AccY"":{""max"":0.016,""median"":-0.0039,""min"":-0.0209,""quantile_05"":-0.0163,""quantile_95"":0.0112},""AccX"":{""max"":0.0136,""median"":-4.0E-4,""min"":-0.0097,""quantile_05"":-0.0077,""quantile_95"":0.0076},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66960,18.5887,73.7031,2025-06-04 06:23:24,1749018204,0.000713601,0.000713601,0.0,553700,2.74167e-06,2.68958e-05,0.0,0.0,8.74019,1,0,,,1306688499,216,a6c0c2d1793276a6,0.0,-2.47121e-08,1.02491,0.0,0.0,0.0,-0.292093,0.0933739,10.0497,0.0,0.0,0.0,7.282,0,0,,"{""AccZ"":{""max"":10.0566,""median"":10.0439,""min"":10.0288,""quantile_05"":10.0314,""quantile_95"":10.052},""AccY"":{""max"":0.0147,""median"":0.0016,""min"":-0.0121,""quantile_05"":-0.0077,""quantile_95"":0.0099},""AccX"":{""max"":0.0086,""median"":0.0018,""min"":-0.0136,""quantile_05"":-0.0092,""quantile_95"":0.0053},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66959,18.5887,73.7031,2025-06-04 06:23:23,1749018203,0.00202039,0.00202039,0.0,553700,-9.38478e-07,-9.20647e-06,0.0,0.0,8.73999,1,0,,,1306688499,215,a6c0c2d1793276a6,0.0,-1.88278e-06,1.02385,0.0,0.0,0.0,-0.305261,0.0933739,10.0389,0.0,0.0,0.0,6.521,0,0,,"{""AccZ"":{""max"":10.0569,""median"":10.0414,""min"":10.0264,""quantile_05"":10.0297,""quantile_95"":10.0504},""AccY"":{""max"":0.0179,""median"":-0.0036,""min"":-0.0168,""quantile_05"":-0.0129,""quantile_95"":0.0118},""AccX"":{""max"":0.0085,""median"":-0.0015,""min"":-0.0101,""quantile_05"":-0.0075,""quantile_95"":0.0048},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66958,18.5887,73.7031,2025-06-04 06:23:22,1749018202,0.00430944,0.00430944,0.0,553700,1.15215e-07,1.13026e-06,0.0,0.0,8.73943,1,0,,,1306688499,214,a6c0c2d1793276a6,0.0,4.89413e-06,1.02372,0.0,0.0,0.0,-0.300472,0.102951,10.0377,0.0,0.0,0.0,5.927,0,0,,"{""AccZ"":{""max"":10.0642,""median"":10.049,""min"":10.0367,""quantile_05"":10.0383,""quantile_95"":10.0552},""AccY"":{""max"":0.0139,""median"":0.0023,""min"":-0.0107,""quantile_05"":-0.0096,""quantile_95"":0.0115},""AccX"":{""max"":0.007,""median"":0.0019,""min"":-0.0129,""quantile_05"":-0.0059,""quantile_95"":0.0055},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66956,18.5887,73.7031,2025-06-04 06:23:20,1749018200,2.05697e-05,2.05697e-05,0.0,553200,-1.38695e-06,-1.3606e-05,0.0,0.0,8.73704,1,0,,,1306688499,212,a6c0c2d1793276a6,0.0,2.66147e-06,1.02434,0.0,0.0,0.0,-0.305261,0.100556,10.0437,0.0,0.0,0.0,6.262,0,0,,"{""AccZ"":{""max"":10.0663,""median"":10.0472,""min"":10.0338,""quantile_05"":10.037,""quantile_95"":10.055},""AccY"":{""max"":0.0173,""median"":0.0049,""min"":-0.0268,""quantile_05"":-0.0215,""quantile_95"":0.0105},""AccX"":{""max"":0.0109,""median"":0.0013,""min"":-0.0063,""quantile_05"":-0.0057,""quantile_95"":0.0086},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66955,18.5887,73.7031,2025-06-04 06:23:19,1749018199,0.000125286,0.000125286,0.0,553200,7.4353e-07,7.29403e-06,0.0,0.0,8.73704,1,0,,,1306688499,211,a6c0c2d1793276a6,0.0,7.19018e-07,1.02309,0.0,0.0,0.0,-0.298078,0.0873884,10.0317,0.0,0.0,0.0,7.389,0,0,,"{""AccZ"":{""max"":10.0508,""median"":10.0414,""min"":10.0333,""quantile_05"":10.0357,""quantile_95"":10.0483},""AccY"":{""max"":0.0124,""median"":-6.0E-4,""min"":-0.0208,""quantile_05"":-0.0115,""quantile_95"":0.0091},""AccX"":{""max"":0.0152,""median"":0.0012,""min"":-0.012,""quantile_05"":-0.0055,""quantile_95"":0.0069},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66954,18.5887,73.7031,2025-06-04 06:23:18,1749018198,0.000543561,0.000543561,0.0,553200,-3.10719e-07,-3.04816e-06,0.0,0.0,8.737,1,0,,,1306688499,210,a6c0c2d1793276a6,0.0,-2.89989e-06,1.02285,0.0,0.0,0.0,-0.301669,0.0837971,10.0293,0.0,0.0,0.0,7.788,0,0,,"{""AccZ"":{""max"":10.0593,""median"":10.0472,""min"":10.0346,""quantile_05"":10.0369,""quantile_95"":10.0532},""AccY"":{""max"":0.0193,""median"":-1.0E-4,""min"":-0.0143,""quantile_05"":-0.0101,""quantile_95"":0.0079},""AccX"":{""max"":0.0102,""median"":5.0E-4,""min"":-0.0086,""quantile_05"":-0.0085,""quantile_95"":0.0067},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66953,18.5887,73.7031,2025-06-04 06:23:17,1749018197,0.00276151,0.00276151,0.0,553200,-2.9635e-07,-2.9072e-06,0.0,0.0,8.73685,1,0,,,1306688499,209,a6c0c2d1793276a6,0.0,1.48744e-06,1.02396,0.0,0.0,0.0,-0.300472,0.0981623,10.0401,0.0,0.0,0.0,7.9,0,0,,"{""AccZ"":{""max"":10.0677,""median"":10.05,""min"":10.0387,""quantile_05"":10.0449,""quantile_95"":10.059},""AccY"":{""max"":0.0132,""median"":-0.0017,""min"":-0.0155,""quantile_05"":-0.013,""quantile_95"":0.0085},""AccX"":{""max"":0.0114,""median"":2.0E-4,""min"":-0.0072,""quantile_05"":-0.0054,""quantile_95"":0.0103},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66952,18.5887,73.7031,2025-06-04 06:23:16,1749018196,0.000237243,0.000237243,0.0,553700,2.00869e-06,1.97053e-05,0.0,0.0,8.73608,1,0,,,1306688499,208,a6c0c2d1793276a6,0.0,3.87124e-06,1.02493,0.0,0.0,0.0,-0.299275,0.0909797,10.0497,0.0,0.0,0.0,7.614,0,0,,"{""AccZ"":{""max"":10.0637,""median"":10.0488,""min"":10.0385,""quantile_05"":10.0407,""quantile_95"":10.0609},""AccY"":{""max"":0.0112,""median"":3.0E-4,""min"":-0.0203,""quantile_05"":-0.0124,""quantile_95"":0.0079},""AccX"":{""max"":0.0109,""median"":9.0E-4,""min"":-0.0073,""quantile_05"":-0.0038,""quantile_95"":0.0072},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
66951,18.5887,73.7031,2025-06-04 06:23:15,1749018195,0.000697189,0.000697189,0.0,553700,-2.92165e-06,-2.86614e-05,0.0,0.0,8.73602,1,0,,,1306688499,207,a6c0c2d1793276a6,0.0,-3.88799e-06,1.02384,0.0,0.0,0.0,-0.308852,0.071826,10.0389,0.0,0.0,0.0,6.961,0,0,,"{""AccZ"":{""max"":10.0596,""median"":10.044,""min"":10.0301,""quantile_05"":10.0329,""quantile_95"":10.0531},""AccY"":{""max"":0.0111,""median"":-7.0E-4,""min"":-0.0176,""quantile_05"":-0.0148,""quantile_95"":0.0069},""AccX"":{""max"":0.01,""median"":-0.0014,""min"":-0.0087,""quantile_05"":-0.0075,""quantile_95"":0.0069},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0,100.0,0.0,0.0,5.0
