ID,latitude,longitude,timestamp,tick_timestamp,speed_kmh,midSpeed,course,height,acceleration,deceleration,lateral,yaw,total_meters,established_indexA,established_indexB,start_date,end_date,unique_id,number,device_id,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,acceleration_x_original,acceleration_y_original,acceleration_z_original,gyroscope_x_original,gyroscope_y_original,gyroscope_z_original,accuracy,screen_on,screen_blocked,vehicle_indicators,quantile,safe_score,risk_factor,total_penalty,star_rating
4984,18.590702,73.7049832,2025-03-20 03:22:35,1742440955,5.86859867325984e-05,5.86859867325984e-05,0.0,560399,4.713187597769914e-07,4.623637033412286e-06,0.0,0.0,9108.80727597516,1,0,,,1949307084,1095,794914eab1e39433,0.0,-2.315270268734732e-07,0.9985857511017998,0.0,0.0,0.0,2.767697095870972,0.8044517636299133,-9.362525939941406,0.0,0.0,0.0,72.4469985961914,0,1,,"{""AccZ"":{""max"":9.7926,""median"":9.7823,""min"":9.775,""quantile_05"":9.7786,""quantile_95"":9.7869},""AccY"":{""max"":0.0116,""median"":0.0017,""min"":-0.0058,""quantile_05"":-0.0036,""quantile_95"":0.0095},""AccX"":{""max"":0.0164,""median"":0.0055,""min"":-0.007,""quantile_05"":-0.0046,""quantile_95"":0.0107},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4983,18.5906994,73.7049812,2025-03-20 03:22:34,1742440954,0.0003737611114047,0.0003737611114047,0.0,560399,9.984946373520402e-07,9.795232392423515e-06,0.0,0.0,9108.807259673498,1,0,,,1949307084,1094,794914eab1e39433,0.0,2.653299220368576e-06,0.9969739841744968,0.0,0.0,0.0,2.767697095870972,0.8068459630012512,-9.345766067504885,0.0,0.0,0.0,71.41300201416016,0,1,,"{""AccZ"":{""max"":9.7926,""median"":9.7823,""min"":9.775,""quantile_05"":9.7786,""quantile_95"":9.7869},""AccY"":{""max"":0.0116,""median"":0.0017,""min"":-0.0058,""quantile_05"":-0.0036,""quantile_95"":0.0095},""AccX"":{""max"":0.0164,""median"":0.0055,""min"":-0.007,""quantile_05"":-0.0046,""quantile_95"":0.0107},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4982,18.5907219,73.7049986,2025-03-20 03:22:33,1742440953,0.0002972589049022,0.0002972589049022,0.0,560399,-2.060059123571285e-07,-2.02091800022343e-06,0.0,0.0,9108.807155850967,1,0,,,1949307084,1093,794914eab1e39433,0.0,-2.485534756675973e-06,0.9981268190168184,0.0,0.0,0.0,2.767697095870972,0.7912836670875549,-9.35893440246582,0.0,0.0,0.0,70.02899932861328,0,1,,"{""AccZ"":{""max"":9.7926,""median"":9.7823,""min"":9.775,""quantile_05"":9.7786,""quantile_95"":9.7869},""AccY"":{""max"":0.0116,""median"":0.0017,""min"":-0.0058,""quantile_05"":-0.0036,""quantile_95"":0.0095},""AccX"":{""max"":0.0164,""median"":0.0055,""min"":-0.007,""quantile_05"":-0.0046,""quantile_95"":0.0107},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4980,18.588449,73.7032501,2025-03-20 03:22:31,1742440951,0.0,0.0,0.0,560399,3.5500411315313655e-07,3.4825903500322697e-06,0.0,0.0,8933.83456961694,1,0,,,1949307084,1091,794914eab1e39433,0.0,6.812371411880944e-07,0.997668095837662,0.0,0.0,0.0,2.7748796939849854,0.8092401623725891,-9.35055446624756,0.0,0.0,0.0,62.45000076293945,0,1,,"{""AccZ"":{""max"":9.7926,""median"":9.7823,""min"":9.775,""quantile_05"":9.7786,""quantile_95"":9.7869},""AccY"":{""max"":0.0116,""median"":0.0017,""min"":-0.0058,""quantile_05"":-0.0036,""quantile_95"":0.0095},""AccX"":{""max"":0.0164,""median"":0.0055,""min"":-0.007,""quantile_05"":-0.0046,""quantile_95"":0.0107},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4979,18.5890566,73.7030168,2025-03-20 03:22:30,1742440950,0.0001373897655867,0.0001373897655867,0.0,551000,1.1438283828592857e-06,1.1220956435849591e-05,0.0,0.0,8933.83456961694,1,0,,,1949307084,1090,794914eab1e39433,0.0,1.650637669023632e-06,0.9994180194614088,0.0,0.0,0.0,2.779668092727661,0.8068459630012512,-9.367314338684082,0.0,0.0,0.0,24.746999740600582,0,1,,"{""AccZ"":{""max"":9.8028,""median"":9.7895,""min"":9.7737,""quantile_05"":9.7768,""quantile_95"":9.7978},""AccY"":{""max"":0.0134,""median"":0.0038,""min"":-0.007,""quantile_05"":-0.0044,""quantile_95"":0.0104},""AccX"":{""max"":0.016,""median"":0.0056,""min"":-0.0064,""quantile_05"":-0.0039,""quantile_95"":0.011},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4978,18.5890572,73.7030166,2025-03-20 03:22:29,1742440949,0.0001870154519565,0.0001870154519565,0.0,551000,-5.640194105781043e-07,-5.533030417771204e-06,0.0,0.0,8933.834531453116,1,0,,,1949307084,1089,794914eab1e39433,0.0,-1.293467487604096e-06,0.9991493066285416,0.0,0.0,0.0,2.78086519241333,0.7984662652015686,-9.364919662475586,0.0,0.0,0.0,24.7509994506836,0,1,,"{""AccZ"":{""max"":9.8124,""median"":9.7991,""min"":9.7336,""quantile_05"":9.7668,""quantile_95"":9.8047},""AccY"":{""max"":0.0121,""median"":0.0046,""min"":-0.0015,""quantile_05"":3.0E-4,""quantile_95"":0.0099},""AccX"":{""max"":0.0174,""median"":0.0048,""min"":-0.0058,""quantile_05"":-0.0023,""quantile_95"":0.0111},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4977,18.5890564,73.7030169,2025-03-20 03:22:28,1742440948,0.0002447521750582,0.0002447521750582,0.0,551000,-1.069850165075763e-06,-1.0495230119393235e-05,0.0,0.0,8933.83447950438,1,0,,,1949307084,1088,794914eab1e39433,0.0,4.017122121487059e-07,0.9983584425260922,0.0,0.0,0.0,2.779668092727661,0.8056488633155823,-9.35654067993164,0.0,0.0,0.0,24.738000869750977,0,1,,"{""AccZ"":{""max"":9.8066,""median"":9.7995,""min"":9.7821,""quantile_05"":9.7903,""quantile_95"":9.8058},""AccY"":{""max"":0.0183,""median"":0.0056,""min"":-0.0068,""quantile_05"":-0.0044,""quantile_95"":0.0135},""AccX"":{""max"":0.0117,""median"":0.0047,""min"":-0.0129,""quantile_05"":-0.0062,""quantile_95"":0.01},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4976,18.5890559,73.7030172,2025-03-20 03:22:27,1742440947,0.0042404463049024,0.0042404463049024,0.0,551000,7.949958798698082e-07,7.798909581522818e-06,0.0,0.0,8933.834411517664,1,0,,,1949307084,1087,794914eab1e39433,0.0,-2.167304641398704e-07,0.9970917599772088,0.0,0.0,0.0,2.7664999961853027,0.7972691655158997,-9.34816074371338,0.0,0.0,0.0,24.72900009155273,0,1,,"{""AccZ"":{""max"":9.804,""median"":9.796,""min"":9.7874,""quantile_05"":9.7897,""quantile_95"":9.8018},""AccY"":{""max"":0.0122,""median"":0.0048,""min"":-0.0042,""quantile_05"":-0.0024,""quantile_95"":0.0093},""AccX"":{""max"":0.0108,""median"":0.0037,""min"":-0.0023,""quantile_05"":-6.0E-4,""quantile_95"":0.0087},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4973,18.5884586,73.7032505,2025-03-20 03:22:24,1742440944,3.021507382392884,3.021507382392884,339.98492431640625,560399,-5.0174619679210526e-08,-4.922130190530553e-07,0.0,0.0,8551.332836887397,1,0,,,1949307084,1084,794914eab1e39433,0.0,2.177603731885811e-07,0.998502710308628,0.0,0.0,0.0,2.7772738933563232,0.8032546639442444,-9.35893440246582,0.0,0.0,0.0,50.37900161743164,0,1,,"{""AccZ"":{""max"":9.8053,""median"":9.7967,""min"":9.7842,""quantile_05"":9.7873,""quantile_95"":9.8023},""AccY"":{""max"":0.0181,""median"":0.0078,""min"":-0.0062,""quantile_05"":0.001,""quantile_95"":0.0152},""AccX"":{""max"":0.0147,""median"":0.0044,""min"":-0.0061,""quantile_05"":-0.0044,""quantile_95"":0.0103},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4972,18.5884561,73.7032512,2025-03-20 03:22:23,1742440943,2.9529123544692992,2.9529123544692992,339.6788635253906,560399,9.641507157659965e-08,9.458318521664428e-07,0.0,0.0,8550.493529281177,1,0,,,1949307084,1083,794914eab1e39433,0.0,-5.188695409411831e-07,0.998681036792318,0.0,0.0,0.0,2.7760767936706543,0.8008604645729065,-9.361329078674316,0.0,0.0,0.0,46.56800079345703,0,1,,"{""AccZ"":{""max"":9.8053,""median"":9.7967,""min"":9.7842,""quantile_05"":9.7873,""quantile_95"":9.8023},""AccY"":{""max"":0.0181,""median"":0.0078,""min"":-0.0062,""quantile_05"":0.001,""quantile_95"":0.0152},""AccX"":{""max"":0.0147,""median"":0.0044,""min"":-0.0061,""quantile_05"":-0.0044,""quantile_95"":0.0103},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
