iter	Passed	Remaining
0	152	75864
1	154	38581
2	157	26109
3	160	19855
4	162	16104
5	165	13595
6	167	11807
7	170	10461
8	172	9437
9	175	8601
10	178	7919
11	180	7344
12	183	6860
13	185	6442
14	188	6091
15	190	5773
16	193	5493
17	195	5240
18	198	5017
19	200	4817
20	203	4644
21	206	4478
22	208	4329
23	211	4189
24	213	4059
25	216	3940
26	218	3833
27	221	3730
28	223	3635
29	226	3545
30	228	3462
31	231	3386
32	234	3314
33	236	3245
34	239	3181
35	242	3119
36	244	3060
37	247	3003
38	249	2950
39	252	2899
40	254	2850
41	257	2803
42	259	2758
43	261	2715
44	264	2671
45	266	2628
46	268	2589
47	270	2549
48	272	2507
49	274	2467
50	275	2428
51	277	2392
52	279	2358
53	281	2322
54	282	2288
55	284	2255
56	286	2224
57	287	2194
58	289	2164
59	291	2137
60	293	2109
61	295	2084
62	296	2059
63	298	2034
64	300	2010
65	302	1986
66	304	1968
67	306	1950
68	309	1932
69	311	1913
70	313	1894
71	315	1877
72	317	1858
73	319	1839
74	321	1822
75	323	1805
76	325	1789
77	327	1772
78	329	1756
79	331	1739
80	333	1724
81	335	1707
82	336	1692
83	338	1676
84	340	1661
85	341	1646
86	343	1631
87	345	1616
88	346	1600
89	347	1585
90	349	1569
91	350	1554
92	351	1538
93	352	1524
94	354	1509
95	355	1494
96	356	1480
97	357	1466
98	358	1452
99	359	1439
100	361	1427
101	363	1416
102	364	1406
103	366	1395
104	367	1383
105	369	1372
106	370	1361
107	372	1350
108	373	1339
109	374	1329
110	376	1319
111	377	1308
112	379	1298
113	380	1289
114	382	1280
115	383	1270
116	385	1260
117	386	1251
118	387	1241
119	389	1232
120	390	1222
121	391	1213
122	393	1204
123	394	1195
124	395	1186
125	396	1178
126	398	1169
127	399	1160
128	400	1152
129	402	1144
130	403	1136
131	404	1128
132	405	1119
133	407	1112
134	408	1103
135	409	1096
136	410	1088
137	412	1081
138	413	1073
139	414	1065
140	416	1059
141	417	1052
142	418	1045
143	419	1038
144	421	1030
145	422	1024
146	423	1017
147	424	1010
148	426	1004
149	427	997
150	428	990
151	430	984
152	431	978
153	432	972
154	434	966
155	435	959
156	436	953
157	437	947
158	439	941
159	440	935
160	441	929
161	443	924
162	444	918
163	445	913
164	447	908
165	448	903
166	450	897
167	451	891
168	452	886
169	453	881
170	455	875
171	456	870
172	457	865
173	459	860
174	460	854
175	461	850
176	463	845
177	464	840
178	465	835
179	467	830
180	468	825
181	469	820
182	471	816
183	472	811
184	473	806
185	475	801
186	476	797
187	477	793
188	479	788
189	480	784
190	481	779
191	483	775
192	484	770
193	485	766
194	487	761
195	488	757
196	489	753
197	490	748
198	492	744
199	493	740
200	495	736
201	496	732
202	497	727
203	498	723
204	500	719
205	501	715
206	502	711
207	503	707
208	505	703
209	506	699
210	508	695
211	509	692
212	510	688
213	511	684
214	513	680
215	514	676
216	515	672
217	517	668
218	518	665
219	519	661
220	521	657
221	522	654
222	523	650
223	525	647
224	526	643
225	527	640
226	529	636
227	530	632
228	531	629
229	533	625
230	534	622
231	535	618
232	536	615
233	538	611
234	539	608
235	540	605
236	542	601
237	543	598
238	544	594
239	546	591
240	547	588
241	548	585
242	550	582
243	551	578
244	553	575
245	555	573
246	557	570
247	558	567
248	559	564
249	561	561
250	562	557
251	563	554
252	565	551
253	566	548
254	567	545
255	569	542
256	570	539
257	572	536
258	573	533
259	574	530
260	576	528
261	579	526
262	581	524
263	583	521
264	586	519
265	588	517
266	590	515
267	593	513
268	596	511
269	598	509
270	600	507
271	603	505
272	605	503
273	608	501
274	610	499
275	612	497
276	614	495
277	617	492
278	619	490
279	622	489
280	625	487
281	627	485
282	630	483
283	632	481
284	635	479
285	637	477
286	640	475
287	642	473
288	645	471
289	647	468
290	649	466
291	651	463
292	653	461
293	655	459
294	656	456
295	658	454
296	660	451
297	662	449
298	664	446
299	666	444
300	668	441
301	670	439
302	671	436
303	673	434
304	675	431
305	676	428
306	678	426
307	679	423
308	680	420
309	682	418
310	684	416
311	686	413
312	687	410
313	689	408
314	690	405
315	692	403
316	693	400
317	694	397
318	696	395
319	697	392
320	699	389
321	700	387
322	701	384
323	703	381
324	704	379
325	705	376
326	706	374
327	708	371
328	709	368
329	710	366
330	712	363
331	713	361
332	715	358
333	716	356
334	718	353
335	720	351
336	721	349
337	723	346
338	724	344
339	725	341
340	726	338
341	728	336
